date,actions,negative_for_ΚΚΕ,negative_for_Κιναλ,negative_for_ΝεαΔημοκρατια,negative_for_Συριζα,positive_for_ΚΚΕ,positive_for_Κιναλ,positive_for_ΝεαΔημοκρατια,positive_for_Συριζα
20220809,2594,0.12586833312992196,0.12574138017769265,0.27425092177686927,0.18706636927071119,0.060595328159665736,0.06902902061011998,0.10054461828162344,0.056904028593396466
20220810,6476,0.13035306957682713,0.13739848855190215,0.2410871282069955,0.183428081698768,0.07145534989050534,0.0675149492344365,0.10766053608276241,0.06110239675780351
20220811,6189,0.1323596217368576,0.12442712787255823,0.25258667343365493,0.19156765306287682,0.06825839131462084,0.06375200642513022,0.10923643838984036,0.05781208776446048
20220812,6391,0.11526796845266822,0.07121314446390983,0.3144620558613607,0.183527844771298,0.07954244319860077,0.039253102323043416,0.14425891610658778,0.05247452482253143
20220813,5562,0.12438619070177868,0.07537113186381697,0.3266105707267985,0.19975704163298136,0.06199436965145749,0.03857011532903212,0.11164233595021428,0.061668244143919845
20220814,4978,0.12315600957539546,0.05605514063483223,0.2525332880111329,0.29784409361563086,0.05463729918088517,0.03291294842735715,0.09282375938230339,0.0900374611724626
20220815,3513,0.11939166271593336,0.04585421067892252,0.2653995395080722,0.2841414074043126,0.04911643899948036,0.034858824270988374,0.12126832388704438,0.07996959253524541
20220816,4203,0.1294856017438354,0.0640114195900586,0.2698637148299176,0.26835699917310596,0.051934581737736595,0.03808075859354034,0.10984513083847831,0.0684217934933279
20220817,4744,0.12296682935029644,0.06194213491135435,0.22242975260179632,0.2802756591554635,0.0521393609486197,0.033780034351804544,0.14200387290821131,0.08446235577245383
20220818,4367,0.12448490033201985,0.054658296022224544,0.24455673109918577,0.26754011123252425,0.07127287974389934,0.030304439255726318,0.13004810566041702,0.07713453665400237
20220819,3788,0.128850347098334,0.0644918664499818,0.25491346181544233,0.2688284999131027,0.07062883808288048,0.033560144665011886,0.10582710044775516,0.07289974152749107
20220820,6199,0.0846150657152891,0.039209834207717606,0.2463234681303391,0.25117913160395294,0.05044378595381723,0.02013020489518266,0.14959806365743772,0.1585004458362641
20220821,6295,0.10998869800414852,0.04879990803758373,0.2130065257450904,0.27257377764671764,0.07761078844710922,0.02664921523589197,0.14639176243194937,0.10497932445150965
20220822,8097,0.11456750149040774,0.05353205069275109,0.31395998490890065,0.2468377576134846,0.05961469111867712,0.02755586364964461,0.11377160775129856,0.07016054277483429
20220823,6738,0.1367206555778196,0.054988361702293966,0.26753212841204205,0.2166510672501474,0.07640373193576878,0.03314698847907701,0.15405779596148583,0.06049927068136766
20220824,6605,0.11897326278141244,0.059670023718814386,0.2808740306509852,0.24047036566093555,0.06469329522942321,0.03161681237402749,0.12817787310077125,0.07552433648362973
20220825,5549,0.1162457824383154,0.07083071699013668,0.2999401331885949,0.2528373307234694,0.0555951777182812,0.03827483676258853,0.10009864242927563,0.06617737974933817
20220826,15174,0.12677898817224897,0.06833357049498505,0.3117098978599432,0.26447160266651953,0.0482181984482662,0.03671486569018084,0.08300098565452195,0.060771891013334
20220827,7715,0.12779273101233768,0.0858720998273165,0.28035685414084915,0.22730204586096223,0.05493875447933661,0.051581939556005145,0.10463699427573216,0.06751858084746097
20220828,5070,0.1336772066996384,0.10257759080241043,0.26540982857656825,0.2064652286159118,0.06068322971812131,0.045477126896495676,0.11611296091847882,0.06959682777237487
20220829,5206,0.13339867166728606,0.08325505230756032,0.2751359256517856,0.19446304413877558,0.08059926197774872,0.040023175812995394,0.12109191454000261,0.07203295390384575
20220830,5976,0.1356062676334493,0.07255100876010145,0.26490635215104813,0.2240509721558574,0.07141776991521138,0.03649593656216963,0.1272718881529815,0.06769980466918048
20220831,5752,0.11768139469399498,0.07793547244954238,0.2903668615077146,0.22644091737652972,0.060204528886108416,0.03727158046150053,0.11569491143563723,0.07440433318897288
20220901,7317,0.11111108681776218,0.07733740428337439,0.28360608907081114,0.21212996314486166,0.062037028445538225,0.04461204073715556,0.126345208597387,0.08282117890310957
20220902,5873,0.11061287351470071,0.12024973767976252,0.2376500662225333,0.19886270440512094,0.06297586728363824,0.05216271285275793,0.1467032239797404,0.07078281406174601
20220903,5108,0.12234911490619758,0.16101200239122931,0.1808316812040369,0.19642007480019852,0.06021392271361084,0.07287022492989545,0.13097593121671747,0.0753270478381133
20220904,4586,0.1392830239546497,0.11096231526189984,0.20261171964158978,0.2560054178310181,0.05641752649004916,0.050230063050365335,0.11579208339692926,0.06869785037349913
20220905,4406,0.11496598433942194,0.06421454594769704,0.20208156248553752,0.23027630947584582,0.10759523228360175,0.057099546444918,0.14945048657090235,0.074316332452075
20220906,4201,0.11561295704612343,0.05905848668053183,0.2759221788732565,0.22931592244818608,0.07615139001228374,0.03236506672026304,0.15193861914418144,0.059635379075174445
