Id,Name,created_at,Νεα Δημοκρατια,Συριζα,Κιναλ,ΚΚΕ,prob
5009,Djan***,2013,--,---,-,--,0.16
6777,Konz***,2015,+,---,-,-,0.28
2348,w_e_***,2011,+++,+,=,+,0.24
4119,Nutr***,2012,--,---,--,---,0.17
17881,viki***,2011,---,---,--,--,0.09
7328,RORY***,2015,---,--,=,---,0.29
4440,Howa***,2012,+++,--,=,+,0.16
17884,user***,2008,--,--,-,++,0.17
3556,mpou***,2012,--,--,--,---,0.39
17890,rhin***,2019,=,=,---,--,0.67
2665,Alal***,2011,---,--,-,--,0.06
10167,niko***,2018,++,+++,=,+,0.24
7174,pani***,2015,--,--,++,-,0.09
17898,conf***,2012,--,--,--,--,0.17
2589,drac***,2011,-,---,=,-,0.20
7484,pira***,2015,---,--,=,--,0.32
7021,silv***,2015,--,++,-,-,0.22
18342,Left***,2019,---,-,-,--,0.04
12141,Guar***,2020,--,---,-,--,0.23
11429,nsup***,2020,-,---,-,-,0.37
18343,alum***,2018,---,-,--,--,0.13
18344,sofi***,2022,--,---,--,--,0.51
11702,kuri***,2020,---,+,=,-,0.20
17911,Gorg***,2011,+,---,+,+,0.31
6617,gkal***,2014,---,--,--,+,0.25
10004,zp_i***,2018,-,---,-,--,0.33
11990,j******,2020,-,---,-,--,0.32
24039,Cali***,2018,-,+++,=,--,0.57
5268,DTzi***,2013,++,--,-,+,0.36
12617,sofl***,2020,--,+++,=,--,0.40
1494,t******,2010,-,---,=,=,0.13
17048,Kons***,2022,--,--,--,-,0.65
6688,Evel***,2014,-,---,=,---,0.07
17949,HUMB***,2013,+++,=,+,+,0.06
17952,NPat***,2021,++,--,=,=,0.08
17951,Soul***,2021,=,+,---,+,0.49
5545,repo***,2013,---,-,--,-,0.29
17954,mflo***,2015,--,-,-,---,0.33
1080,thib***,2010,-,---,+,--,0.05
7365,gian***,2015,--,---,-,--,0.31
18770,TERA***,2022,---,=,=,=,0.32
18769,Gioz***,2022,+++,-,=,+,0.40
16609,Katy***,2022,---,-,-,--,0.84
17957,tran***,2015,--,--,-,--,0.18
8040,pres***,2015,+,--,-,-,0.55
17960,zaxa***,2015,+++,--,-,--,0.14
5294,orig***,2013,--,--,--,--,0.17
7670,Auga***,2015,---,=,=,=,0.14
5810,SkyC***,2013,--,--,--,--,0.17
2460,loia***,2011,--,---,-,--,0.31
5497,oura***,2013,++,-,-,--,0.43
3794,Voic***,2012,+++,--,-,++,0.23
17969,Aria***,2015,---,=,=,-,0.08
1160,g_pl***,2010,++,---,=,=,0.07
6147,baga***,2014,---,--,--,--,0.11
17974,simo***,2009,---,=,=,=,0.00
16700,Vais***,2022,+++,--,-,--,0.59
17976,madd***,2022,+++,++,+,++,0.75
12870,Bear***,2020,--,---,-,--,0.65
15638,Mann***,2022,-,---,-,-,0.09
17975,agel***,2021,+++,---,-,-,0.11
6365,vale***,2014,--,---,-,---,0.31
17980,spor***,2015,+++,=,=,+,0.21
4301,kate***,2012,=,+++,=,=,0.16
17983,sama***,2022,-,-,--,---,0.58
15533,Pana***,2021,--,-,--,-,0.58
870,Alie***,2009,=,+,-,--,0.11
174,i******,2009,-,--,-,--,0.11
3088,F******,2011,--,--,-,--,0.37
6959,reda***,2015,--,--,-,--,0.09
17987,Poio***,2012,--,--,-,-,0.15
5194,ange***,2013,-,--,-,---,0.20
16486,KDou***,2022,++,-,+,+,0.65
9079,Mikr***,2017,+,-,+++,=,0.32
9436,tria***,2017,---,--,-,=,0.39
9580,_tir***,2018,++,---,---,=,0.28
17989,kpap***,2016,--,---,-,--,0.05
6289,Babi***,2014,-,--,=,--,0.14
17990,ioag***,2010,--,--,++,-,0.06
9951,S******,2018,--,---,-,-,0.25
17988,Fani***,2022,--,---,---,--,0.25
17994,rouf***,2012,---,=,=,=,0.57
4582,Nest***,2012,--,---,=,-,0.08
11767,Titi***,2020,---,--,--,-,0.43
17996,Theo***,2018,--,--,-,-,0.79
5347,ERep***,2013,--,---,=,-,0.25
7306,xama***,2015,---,-,+,-,0.38
18006,Theo***,2022,++,--,=,-,0.69
18007,chio***,2010,+,++,+,+,0.10
5367,ztza***,2013,=,+++,=,---,0.18
18011,foti***,2015,--,---,-,-,0.26
18014,unce***,2011,---,--,-,-,0.06
7678,o_la***,2015,--,---,-,--,0.18
3622,minu***,2012,--,--,+,-,0.05
4595,Pers***,2012,--,--,--,--,0.42
7637,Bp_A***,2015,--,---,--,-,0.18
4551,Aaro***,2012,---,-,--,-,0.17
3654,ALAN***,2012,=,-,-,---,0.11
1458,Chri***,2010,--,---,--,--,0.16
1026,Anto***,2010,--,---,-,--,0.06
6422,KGol***,2014,+,-,-,+,0.13
3656,JIMM***,2012,---,--,--,--,0.26
18020,GJ9h***,2019,++,-,=,+,0.37
18021,priz***,2018,--,---,-,--,0.24
18022,mits***,2018,---,-,-,---,0.18
18028,Papa***,2012,--,---,=,-,0.06
808,Seit***,2009,+,---,-,--,0.21
18029,hipp***,2013,++,--,--,+,0.10
18031,opin***,2011,---,---,--,--,0.04
18032,pant***,2011,---,-,-,-,0.31
5042,Geor***,2013,--,---,--,--,0.23
9144,mimi***,2017,+++,+++,=,--,0.10
3507,Koko***,2011,--,--,=,---,0.05
629,niem***,2009,-,--,++,--,0.02
2119,Anna***,2011,+++,-,=,--,0.05
18036,adis***,2013,--,---,-,-,0.12
1270,sail***,2010,+,-,---,--,0.11
18038,alre***,2012,---,---,-,--,0.16
18039,ner1***,2014,=,---,=,-,0.38
7508,kosl***,2015,++,--,-,---,0.21
5977,pavp***,2014,---,--,-,--,0.76
2527,Dimi***,2011,-,--,-,--,0.13
3779,Sakk***,2012,-,--,--,---,0.12
215,g******,2009,---,=,=,+,0.08
3795,Fr_A***,2012,--,-,=,++,0.18
6202,Gior***,2014,---,--,-,--,0.15
7668,mkar***,2015,+++,---,-,--,0.09
18043,Timo***,2011,=,+++,=,=,0.10
8192,Grig***,2016,+,=,=,-,0.23
18051,Dect***,2017,---,-,-,-,0.17
18053,boul***,2017,--,---,-,-,0.24
18052,Pola***,2021,=,++,=,-,0.24
3588,Tomm***,2012,---,-,=,--,0.05
15166,croc***,2021,--,+++,-,--,0.56
18064,t******,2022,-,---,--,-,0.36
817,E******,2009,---,--,-,+,0.07
4859,GEOR***,2012,--,---,--,--,0.44
10806,Cret***,2019,---,--,+,+,0.27
15368,john***,2021,--,---,--,---,0.30
18066,VTsi***,2015,+,+,--,+,0.13
18067,f_my***,2011,---,-,--,---,0.08
18070,Lady***,2019,-,--,-,--,0.58
23970,antz***,2016,---,-,-,=,0.09
18072,StMy***,2009,---,--,-,--,0.19
